,city,lat,lon,MaxTemp,Humidity,Cloudiness,WindSpeed,Country,Date
0,Saint-Philippe,-21.36,55.77,78.8,78,0,18.34,RE,1608484290
1,Sinnamary,5.38,-52.95,82.92,75,84,7.76,GF,1608484290
2,Atuona,-9.8,-139.03,78.37,77,0,19.35,PF,1608484290
3,Kaeo,-35.1,173.78,59.0,96,43,3.0,NZ,1608484291
4,Hobyo,5.35,48.53,79.12,76,0,19.66,SO,1608484291
5,New Norfolk,-42.78,147.06,48.99,68,48,0.6,AU,1608484291
6,Lázaro Cárdenas,17.96,-102.2,82.65,51,40,5.68,MX,1608484291
7,Ribeira Grande,38.52,-28.7,66.2,82,40,19.46,PT,1608484291
8,Hobart,-42.88,147.33,48.99,87,42,5.82,AU,1608484291
9,Kapaa,22.08,-159.32,75.2,88,75,18.34,US,1608484506
10,Uglovoye,44.82,33.6,38.64,77,27,13.78,UA,1608484291
11,Bengkulu,-3.8,102.27,74.98,86,99,4.45,ID,1608484292
12,Ushuaia,-54.8,-68.3,62.6,42,40,18.34,AR,1608484154
13,Tall Kayf,37.08,41.07,47.43,61,1,1.07,TR,1608484292
14,Swift Current,50.28,-107.8,37.4,69,75,27.51,CA,1608484292
15,Abu Samrah,35.3,37.18,54.68,66,6,7.49,SY,1608484507
16,Souillac,-20.52,57.52,78.8,78,40,9.17,MU,1608484292
17,Albany,42.6,-73.97,33.01,72,100,4.92,US,1608484184
18,Chokurdakh,70.63,147.92,-17.75,89,68,9.69,RU,1608484293
19,Yumbel,-37.08,-72.57,71.6,40,0,12.75,CL,1608484293
20,Saldanha,-33.01,17.94,77.0,50,1,10.29,ZA,1608484508
21,Longjiang,47.33,123.18,15.28,81,22,3.67,CN,1608484510
22,Avarua,-21.21,-159.78,71.6,88,100,1.12,CK,1608484511
23,Bubaque,11.28,-15.83,80.83,56,3,11.21,GW,1608484512
24,Punta Arenas,-53.15,-70.92,59.0,58,0,34.45,CL,1608484293
25,Hambantota,6.12,81.12,77.72,84,100,18.45,LK,1608484293
26,Carnarvon,-24.87,113.63,77.0,73,0,25.28,AU,1608483995
27,Necochea,-38.55,-58.74,63.0,59,96,5.99,AR,1608484294
28,Katsuura,35.13,140.3,39.2,38,40,18.34,JP,1608484294
